model,group,fold,MAE,RMSE,peakMAE,n
lag168,전체,2021-05,24.262096774193548,46.697335352590066,33.38461538461539,744.0
lag168,전체,2021-06,6.666666666666667,9.561642118381132,13.577464788732394,720.0
lag168,전체,2021-07,8.83764367816092,16.04004507403304,15.050420168067227,696.0
lag168,전체,2021-08,42.93103448275862,71.2764506256667,96.80701754385964,725.0
lag24,전체,2021-05,47.97715053763441,70.26595980648725,87.84615384615384,744.0
lag24,전체,2021-06,34.736111111111114,59.18835283323156,61.74647887323944,720.0
lag24,전체,2021-07,40.61925287356322,65.6116338331311,38.2436974789916,696.0
lag24,전체,2021-08,27.467586206896552,53.18960230255015,43.75438596491228,725.0
요일x시간 평균,전체,2021-05,29.8092100639539,38.09559000351671,28.9683257918552,744.0
요일x시간 평균,전체,2021-06,27.129900192400196,32.185270429932004,36.01664532650449,720.0
요일x시간 평균,전체,2021-07,26.430002210433244,32.61246211366573,44.030187459599226,696.0
요일x시간 평균,전체,2021-08,33.07420597598865,46.17107805199161,33.7426211059722,725.0
전체 평균,전체,2021-05,47.09869978345281,54.501957736500664,84.83111645299147,744.0
전체 평균,전체,2021-06,49.390516924208974,56.07714581388184,87.59080309672602,720.0
전체 평균,전체,2021-07,52.84528666836011,60.87576688019143,91.99977753532355,696.0
전체 평균,전체,2021-08,54.842733442802405,61.643748119588395,90.12151211361738,725.0
lag168,전체,ALL,20.841247833622184,43.862606506758404,33.488461538461536,2885.0
lag24,전체,ALL,37.74350086655112,62.42645863975915,48.35,2885.0
요일x시간 평균,전체,ALL,29.14580980837544,37.750290225416556,38.833429862341,2885.0
전체 평균,전체,ALL,51.00308703345918,58.30777397585526,90.02558173436972,2885.0
lag168,복제일,2021-05,19.147058823529413,39.170316892899855,29.0,408.0
lag168,복제일,2021-06,7.038690476190476,9.885806323546232,13.577464788732394,672.0
lag168,복제일,2021-07,11.791666666666666,13.809718799936997,10.375,48.0
lag24,복제일,2021-05,46.634803921568626,68.57279300988453,106.0,408.0
lag24,복제일,2021-06,35.388392857142854,60.0902471089864,61.74647887323944,672.0
lag24,복제일,2021-07,12.666666666666666,15.098289086294955,6.0625,48.0
요일x시간 평균,복제일,2021-05,28.12866846084839,35.73649328633025,26.313725490196077,408.0
요일x시간 평균,복제일,2021-06,26.871998041640897,31.969028737351366,36.01664532650449,672.0
요일x시간 평균,복제일,2021-07,47.93990384615385,52.572490047672495,73.86057692307692,48.0
전체 평균,복제일,2021-05,49.180422794117646,56.011036896361155,85.71145833333334,408.0
전체 평균,복제일,2021-06,48.098815436770735,55.17211075777812,87.59080309672602,672.0
전체 평균,복제일,2021-07,53.02150475751994,64.56572788492329,99.30755064456721,48.0
lag168,복제일,ALL,11.620567375886525,24.925918607740744,14.489583333333334,1128.0
lag24,복제일,ALL,38.48936170212766,62.14212433624454,56.614583333333336,1128.0
요일x시간 평균,복제일,ALL,28.223045036014373,34.47321129729722,41.414318524612646,1128.0
전체 평균,복제일,ALL,48.699511260523835,55.90672576088524,89.3674057831315,1128.0
lag168,고유일,2021-05,30.473214285714285,54.456103991240155,43.25,336.0
lag168,고유일,2021-06,1.4583333333333333,1.7795130420052185,,48.0
lag168,고유일,2021-07,8.618827160493828,16.193038818357707,15.776699029126213,648.0
lag168,고유일,2021-08,42.93103448275862,71.2764506256667,96.80701754385964,725.0
lag24,고유일,2021-05,49.607142857142854,72.26863740503866,47.0,336.0
lag24,고유일,2021-06,25.604166666666668,44.68990378150304,,48.0
lag24,고유일,2021-07,42.68981481481482,67.8740095532856,43.24271844660194,648.0
lag24,고유일,2021-08,27.467586206896552,53.18960230255015,43.75438596491228,725.0
요일x시간 평균,고유일,2021-05,31.84986772486772,40.77713392710828,34.94117647058823,336.0
요일x시간 평균,고유일,2021-06,30.7405303030303,35.07294273344441,,48.0
요일x시간 평균,고유일,2021-07,24.836676163342833,30.62066262480527,39.396340552651246,648.0
요일x시간 평균,고유일,2021-08,33.07420597598865,46.17107805199161,33.7426211059722,725.0
전체 평균,고유일,2021-05,44.570893270502644,52.611343826319164,82.85034722222223,336.0
전체 평균,고유일,2021-06,67.47433774834438,67.48502769437813,,48.0
전체 평균,고유일,2021-07,52.832233476570494,60.593498114001626,90.86458947951868,648.0
전체 평균,고유일,2021-08,54.842733442802405,61.643748119588395,90.12151211361738,725.0
lag168,고유일,ALL,26.760956175298805,52.53778757719034,44.609756097560975,1757.0
lag24,고유일,ALL,37.26465566306204,62.608321612359774,43.51219512195122,1757.0
요일x시간 평균,고유일,ALL,29.738227943391536,39.71190171916833,37.32266576735271,1757.0
전체 평균,고유일,ALL,52.48199054619171,59.79846155885763,90.41085546192379,1757.0
